Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         12 K
Secure System                  284 Services                   0     66,068 K
Registry                       328 Services                   0     18,320 K
smss.exe                       896 Services                   0          4 K
csrss.exe                     1276 Services                   0      1,084 K
wininit.exe                   1380 Services                   0        452 K
csrss.exe                     1388 Console                    1      1,536 K
services.exe                  1456 Services                   0      6,484 K
LsaIso.exe                    1476 Services                   0         20 K
lsass.exe                     1484 Services                   0     14,012 K
winlogon.exe                  1520 Console                    1        476 K
svchost.exe                   1688 Services                   0     15,468 K
fontdrvhost.exe               1720 Console                    1        172 K
fontdrvhost.exe               1728 Services                   0          N/A
svchost.exe                   1828 Services                   0     17,064 K
WUDFHost.exe                  1844 Services                   0        932 K
svchost.exe                   1912 Services                   0      3,052 K
dwm.exe                       1992 Console                    1     22,880 K
WUDFHost.exe                  1268 Services                   0          N/A
svchost.exe                   1976 Services                   0        960 K
svchost.exe                   2068 Services                   0        804 K
svchost.exe                   2100 Services                   0      1,480 K
svchost.exe                   2116 Services                   0      6,888 K
svchost.exe                   2124 Services                   0      1,864 K
svchost.exe                   2284 Services                   0      2,352 K
svchost.exe                   2292 Services                   0      2,364 K
svchost.exe                   2300 Services                   0      1,312 K
IntelCpHDCPSvc.exe            2392 Services                   0          N/A
svchost.exe                   2404 Services                   0      1,240 K
svchost.exe                   2420 Services                   0      4,188 K
svchost.exe                   2448 Services                   0      1,000 K
svchost.exe                   2516 Services                   0      1,492 K
svchost.exe                   2604 Services                   0      8,920 K
svchost.exe                   2716 Services                   0      9,684 K
svchost.exe                   2876 Services                   0      1,260 K
svchost.exe                   3036 Services                   0      2,280 K
svchost.exe                   3044 Services                   0      1,328 K
svchost.exe                   3068 Services                   0      5,276 K
svchost.exe                   3188 Services                   0      2,268 K
svchost.exe                   3260 Services                   0      3,336 K
NVDisplay.Container.exe       3288 Services                   0      3,648 K
svchost.exe                   3348 Services                   0      7,624 K
svchost.exe                   3428 Services                   0      1,064 K
svchost.exe                   3436 Services                   0      3,508 K
svchost.exe                   3444 Services                   0      1,364 K
Memory Compression            3568 Services                   0    153,352 K
svchost.exe                   3608 Services                   0        560 K
svchost.exe                   3680 Services                   0      1,276 K
svchost.exe                   3688 Services                   0      1,472 K
svchost.exe                   3788 Services                   0      2,168 K
svchost.exe                   3848 Services                   0      1,176 K
svchost.exe                   3948 Services                   0     22,108 K
svchost.exe                   4104 Services                   0     19,400 K
svchost.exe                   4132 Services                   0      3,012 K
svchost.exe                   4140 Services                   0      3,012 K
svchost.exe                   4236 Services                   0      3,916 K
svchost.exe                   4296 Services                   0      2,932 K
WUDFHost.exe                  4364 Services                   0          N/A
svchost.exe                   4400 Services                   0      1,032 K
svchost.exe                   4532 Services                   0      9,416 K
svchost.exe                   4584 Services                   0      1,904 K
svchost.exe                   4616 Services                   0      7,944 K
WmiPrvSE.exe                  4680 Services                   0     19,424 K
svchost.exe                   4704 Services                   0      1,940 K
svchost.exe                   4860 Services                   0        992 K
spoolsv.exe                   5064 Services                   0      3,724 K
svchost.exe                   5252 Services                   0      2,640 K
ACCSvc.exe                    5348 Services                   0          N/A
ADBCSvc.exe                   5368 Services                   0          N/A
DtsApo4Service.exe            5380 Services                   0        132 K
svchost.exe                   5392 Services                   0     11,356 K
svchost.exe                   5416 Services                   0     14,736 K
svchost.exe                   5404 Services                   0     25,836 K
armsvc.exe                    5428 Services                   0          N/A
OneApp.IGCC.WinService.ex     5436 Services                   0      5,496 K
IntelAudioService.exe         5444 Services                   0      1,300 K
svchost.exe                   5488 Services                   0      2,008 K
KillerAnalyticsService.ex     5496 Services                   0      4,472 K
GooglePlayGamesServices.e     5504 Services                   0     41,940 K
logi_lamparray_service.ex     5512 Services                   0      2,480 K
OfficeClickToRun.exe          5568 Services                   0      8,764 K
MpDefenderCoreService.exe     5588 Services                   0      5,216 K
ipfsvc.exe                    5620 Services                   0          N/A
RstMwService.exe              5632 Services                   0          N/A
jhi_service.exe               5704 Services                   0          N/A
WMIRegistrationService.ex     5716 Services                   0          N/A
